time,smaller,larger,outer,inner,updates
1.019,12,1992,1992,0,0
3.25,12,38676,38676,3,0
0.304,12,1974,1974,0,0
3.451,12,11109,11109,3,3
1.014,12,1992,1992,0,0
0.253,537,3549,363,1233,54
0.076,35,60481,35,31,31
3.267,29,38676,38676,4,1
0.28,29,2003,2003,0,0
3.502,29,11109,11109,0,0
1.009,29,1992,1992,0,0
3.173,1,38676,38676,1,1
0.273,1,2003,2003,0,0
3.431,1,11109,11109,0,0
1.002,1,1992,1992,0,0
3.166,1,38676,38676,0,0
0.273,1,2003,2003,0,0
3.413,1,11109,11109,4,4
1.002,1,1992,1992,0,0
0.073,4,3549,4,6,6
0.031,6,60512,6,6,6
3.154,6,38676,38676,0,0
0.28,6,2009,2009,0,0
3.454,6,11109,11109,0,0
1.022,6,1992,1992,0,0
3.855,4526,16009,16009,3226,3226
1.509,3684,7635,3684,27,27
0.632,977,7635,977,18,18
0.027,18,27,3,3,3
3.793,7635,16009,16009,6151,2919
0.017,3,7635,3,0,0
1.477,3684,7635,3684,27,0
0.591,977,7635,977,18,0
2.724,2906,16009,16009,1964,1958
0.036,3,2906,3,0,0
1.732,2906,3684,3684,225,225
1.864,977,2906,977,1020,1020
0.322,252,1018,228,219,219
2.777,1946,16009,16009,1829,1821
0.135,156,1946,156,2,2
1.629,1946,3684,3684,112,112
0.612,977,1946,977,11,11
0.137,11,364,326,6,6
2.266,1811,16009,16009,1325,1299
0.089,162,1811,162,15,15
1.75,1811,3684,3684,211,211
1.105,977,1811,977,551,551
0.33,551,575,545,131,131
2.264,1287,16009,16009,1337,1315
0.121,241,1287,241,0,0
1.529,1287,3684,3684,65,65
0.629,977,1287,977,14,14
0.254,14,640,610,52,52
1.87,1305,16009,16009,1036,1021
0.127,271,1305,271,12,12
1.576,1305,3684,3684,156,156
0.832,977,1305,977,421,421
0.316,421,796,780,99,83
1.814,997,16009,16009,1162,1055
0.095,297,997,297,0,0
1.466,997,3684,3684,45,45
0.594,977,997,977,9,9
0.27,9,841,825,17,17
1.575,921,16009,16009,673,206
0.11,302,921,302,8,8
1.448,921,3684,3684,28,28
0.604,921,977,977,16,16
0.262,16,869,861,12,12
1.532,206,16009,16009,244,187
0.104,206,305,305,2,2
1.433,206,3684,3684,23,23
0.571,206,977,977,0,0
1.509,177,16009,16009,162,138
0.095,177,305,305,0,0
1.423,177,3684,3684,13,13
0.571,177,977,977,0,0
1.464,138,16009,16009,149,57
0.095,138,305,305,0,0
1.398,138,3684,3684,6,6
